ID	allele_type
CAMP_1	core
CAMP_10	core
CAMP_100	core
CAMP_1000	core
CAMP_1001	core
CAMP_1002	core
CAMP_1003	core
CAMP_1004	core
CAMP_1005	core
CAMP_1006	core
CAMP_1007	core
CAMP_1008	core
CAMP_1009	core
CAMP_101	core
CAMP_1010	core
CAMP_1011	core
CAMP_1012	core
CAMP_1013	core
CAMP_1014	core
CAMP_1015	core
CAMP_1016	core
CAMP_1017	core
CAMP_1018	core
CAMP_1019	core
CAMP_102	core
CAMP_1020	core
CAMP_1021	core
CAMP_1022	core
CAMP_1023	core
CAMP_1024	core
CAMP_1025	core
CAMP_1026	core
CAMP_1027	core
CAMP_1028	core
CAMP_1029	core
CAMP_103	core
CAMP_1030	core
CAMP_1031	core
CAMP_1032	core
CAMP_1033	core
CAMP_1034	core
CAMP_1035	core
CAMP_1036	core
CAMP_1037	core
CAMP_1038	core
CAMP_1039	core
CAMP_104	core
CAMP_1040	core
CAMP_1041	core
CAMP_1042	core
CAMP_1043	core
CAMP_1044	core
CAMP_1045	core
CAMP_1046	core
CAMP_1047	core
CAMP_1048	core
CAMP_1049	core
CAMP_105	core
CAMP_1050	core
CAMP_1051	core
CAMP_1052	core
CAMP_1053	core
CAMP_1054	core
CAMP_1055	core
CAMP_1056	core
CAMP_1057	core
CAMP_1058	core
CAMP_1059	core
CAMP_106	core
CAMP_1060	core
CAMP_1061	core
CAMP_1062	core
CAMP_1063	core
CAMP_1064	core
CAMP_1065	core
CAMP_1066	core
CAMP_1067	core
CAMP_1068	core
CAMP_1069	core
CAMP_107	core
CAMP_1070	core
CAMP_1071	core
CAMP_1072	core
CAMP_1073	core
CAMP_1074	core
CAMP_1075	core
CAMP_1076	core
CAMP_1077	core
CAMP_1078	core
CAMP_1079	core
CAMP_108	core
CAMP_1080	core
CAMP_1081	core
CAMP_1082	core
CAMP_1083	core
CAMP_1084	core
CAMP_1085	core
CAMP_1086	core
CAMP_1087	core
CAMP_1088	core
CAMP_1089	core
CAMP_109	core
CAMP_1090	core
CAMP_1091	core
CAMP_1092	core
CAMP_1093	core
CAMP_1094	core
CAMP_1095	core
CAMP_1096	core
CAMP_1097	core
CAMP_1098	core
CAMP_1099	core
CAMP_11	core
CAMP_110	core
CAMP_1100	core
CAMP_1101	core
CAMP_1102	core
CAMP_1103	core
CAMP_1104	core
CAMP_1105	core
CAMP_1106	core
CAMP_1107	core
CAMP_1108	core
CAMP_1109	core
CAMP_111	core
CAMP_1110	core
CAMP_1111	core
CAMP_1112	core
CAMP_1113	core
CAMP_1114	core
CAMP_1115	core
CAMP_1116	core
CAMP_1117	core
CAMP_1118	core
CAMP_1119	core
CAMP_112	core
CAMP_1120	core
CAMP_1121	core
CAMP_1122	core
CAMP_1123	core
CAMP_1124	core
CAMP_1125	core
CAMP_1126	core
CAMP_1127	core
CAMP_1128	core
CAMP_1129	core
CAMP_113	core
CAMP_1130	core
CAMP_1131	core
CAMP_1132	core
CAMP_1133	core
CAMP_1134	core
CAMP_1135	core
CAMP_1136	core
CAMP_1137	core
CAMP_1138	core
CAMP_1139	core
CAMP_114	core
CAMP_1140	core
CAMP_1141	core
CAMP_1142	core
CAMP_1143	core
CAMP_1144	core
CAMP_1145	core
CAMP_1146	core
CAMP_1147	core
CAMP_1148	core
CAMP_1149	core
CAMP_115	core
CAMP_1150	core
CAMP_1151	core
CAMP_1152	core
CAMP_1153	core
CAMP_1154	core
CAMP_1155	core
CAMP_1156	core
CAMP_1157	core
CAMP_1158	core
CAMP_1159	core
CAMP_116	core
CAMP_1160	core
CAMP_1161	core
CAMP_1162	core
CAMP_1163	core
CAMP_1164	core
CAMP_1165	core
CAMP_1166	core
CAMP_1167	core
CAMP_1168	core
CAMP_1169	core
CAMP_117	core
CAMP_1170	core
CAMP_1171	core
CAMP_1172	core
CAMP_1173	core
CAMP_1174	core
CAMP_1175	core
CAMP_1176	core
CAMP_1177	core
CAMP_1178	core
CAMP_1179	core
CAMP_118	core
CAMP_1180	core
CAMP_1181	core
CAMP_1182	core
CAMP_1183	core
CAMP_1184	core
CAMP_1185	core
CAMP_1186	core
CAMP_1187	core
CAMP_1188	core
CAMP_1189	core
CAMP_119	core
CAMP_1190	core
CAMP_1191	core
CAMP_1192	core
CAMP_1193	core
CAMP_1194	core
CAMP_1195	core
CAMP_1196	core
CAMP_1197	core
CAMP_1198	core
CAMP_1199	core
CAMP_12	core
CAMP_120	core
CAMP_1200	core
CAMP_1201	core
CAMP_1202	core
CAMP_1203	core
CAMP_1204	core
CAMP_1205	core
CAMP_1206	core
CAMP_1207	core
CAMP_1208	core
CAMP_1209	core
CAMP_121	core
CAMP_1210	core
CAMP_1211	core
CAMP_1212	core
CAMP_1213	core
CAMP_1214	core
CAMP_1215	core
CAMP_1216	core
CAMP_1217	core
CAMP_1218	core
CAMP_1219	core
CAMP_122	core
CAMP_1220	core
CAMP_1221	core
CAMP_1222	core
CAMP_1223	core
CAMP_1224	core
CAMP_1225	core
CAMP_1226	core
CAMP_1227	core
CAMP_1228	core
CAMP_1229	core
CAMP_123	core
CAMP_1230	core
CAMP_1231	core
CAMP_1232	core
CAMP_1233	core
CAMP_1234	core
CAMP_1235	core
CAMP_1236	core
CAMP_1237	core
CAMP_1238	core
CAMP_1239	core
CAMP_124	core
CAMP_1240	core
CAMP_1241	core
CAMP_1242	core
CAMP_1243	core
CAMP_1244	core
CAMP_1245	core
CAMP_1246	core
CAMP_1247	core
CAMP_1248	core
CAMP_1249	core
CAMP_125	core
CAMP_1250	core
CAMP_1251	core
CAMP_1252	core
CAMP_1253	core
CAMP_1254	core
CAMP_1255	core
CAMP_1256	core
CAMP_1257	core
CAMP_1258	core
CAMP_1259	core
CAMP_126	core
CAMP_1260	core
CAMP_1261	core
CAMP_1262	core
CAMP_1263	core
CAMP_1264	core
CAMP_1265	core
CAMP_1266	core
CAMP_1267	core
CAMP_1268	core
CAMP_1269	core
CAMP_127	core
CAMP_1270	core
CAMP_1271	core
CAMP_1272	core
CAMP_1273	core
CAMP_1274	core
CAMP_1275	core
CAMP_1276	core
CAMP_1277	core
CAMP_1278	core
CAMP_1279	core
CAMP_128	core
CAMP_1280	core
CAMP_1281	core
CAMP_1282	core
CAMP_1283	core
CAMP_1284	core
CAMP_1285	core
CAMP_1286	core
CAMP_1287	core
CAMP_1288	core
CAMP_1289	core
CAMP_129	core
CAMP_1290	core
CAMP_1291	core
CAMP_1292	core
CAMP_1293	core
CAMP_1294	core
CAMP_1295	core
CAMP_1296	core
CAMP_1297	core
CAMP_1298	core
CAMP_1299	core
CAMP_13	core
CAMP_130	core
CAMP_1300	core
CAMP_1301	core
CAMP_1302	core
CAMP_1303	core
CAMP_1304	core
CAMP_1305	core
CAMP_1306	core
CAMP_1307	core
CAMP_1308	core
CAMP_1309	core
CAMP_131	core
CAMP_1310	core
CAMP_1311	core
CAMP_1312	core
CAMP_1313	core
CAMP_1314	core
CAMP_1315	core
CAMP_1316	core
CAMP_1317	core
CAMP_1318	core
CAMP_1319	core
CAMP_132	core
CAMP_1320	core
CAMP_1321	core
CAMP_1322	core
CAMP_1323	core
CAMP_1324	core
CAMP_1325	core
CAMP_1326	core
CAMP_1327	core
CAMP_1328	core
CAMP_1329	core
CAMP_133	core
CAMP_1330	core
CAMP_1331	core
CAMP_1332	core
CAMP_1333	core
CAMP_1334	core
CAMP_1335	core
CAMP_1336	core
CAMP_1337	core
CAMP_1338	core
CAMP_1339	core
CAMP_134	core
CAMP_1340	core
CAMP_1341	core
CAMP_1342	core
CAMP_1343	accessory
CAMP_1344	accessory
CAMP_1345	accessory
CAMP_1346	accessory
CAMP_1347	accessory
CAMP_1348	accessory
CAMP_1349	accessory
CAMP_135	core
CAMP_1350	accessory
CAMP_1351	accessory
CAMP_1352	accessory
CAMP_1353	accessory
CAMP_1354	accessory
CAMP_1355	accessory
CAMP_1356	accessory
CAMP_1357	accessory
CAMP_1358	accessory
CAMP_1359	accessory
CAMP_136	core
CAMP_1360	accessory
CAMP_1361	accessory
CAMP_1362	accessory
CAMP_1363	accessory
CAMP_1364	accessory
CAMP_1365	accessory
CAMP_1366	accessory
CAMP_1367	accessory
CAMP_1368	accessory
CAMP_1369	accessory
CAMP_137	core
CAMP_1370	accessory
CAMP_1371	accessory
CAMP_1372	accessory
CAMP_1373	accessory
CAMP_1374	accessory
CAMP_1375	accessory
CAMP_1376	accessory
CAMP_1377	accessory
CAMP_1378	accessory
CAMP_1379	accessory
CAMP_138	core
CAMP_1380	accessory
CAMP_1381	accessory
CAMP_1382	accessory
CAMP_1383	accessory
CAMP_1384	accessory
CAMP_1385	accessory
CAMP_1386	accessory
CAMP_1387	accessory
CAMP_1388	accessory
CAMP_1389	accessory
CAMP_139	core
CAMP_1390	accessory
CAMP_1391	accessory
CAMP_1392	accessory
CAMP_1393	accessory
CAMP_1394	accessory
CAMP_1395	accessory
CAMP_1396	accessory
CAMP_1397	accessory
CAMP_1398	accessory
CAMP_1399	accessory
CAMP_14	core
CAMP_140	core
CAMP_1400	accessory
CAMP_1401	accessory
CAMP_1402	accessory
CAMP_1403	accessory
CAMP_1404	accessory
CAMP_1405	accessory
CAMP_1406	accessory
CAMP_1407	accessory
CAMP_1408	accessory
CAMP_1409	accessory
CAMP_141	core
CAMP_1410	accessory
CAMP_1411	accessory
CAMP_1412	accessory
CAMP_1413	accessory
CAMP_1414	accessory
CAMP_1415	accessory
CAMP_1416	accessory
CAMP_1417	accessory
CAMP_1418	accessory
CAMP_1419	accessory
CAMP_142	core
CAMP_1420	accessory
CAMP_1421	accessory
CAMP_1422	accessory
CAMP_1423	accessory
CAMP_1424	accessory
CAMP_1425	accessory
CAMP_1426	accessory
CAMP_1427	accessory
CAMP_1428	accessory
CAMP_1429	accessory
CAMP_143	core
CAMP_1430	accessory
CAMP_1431	accessory
CAMP_1432	accessory
CAMP_1433	accessory
CAMP_1434	accessory
CAMP_1435	accessory
CAMP_1436	accessory
CAMP_1437	accessory
CAMP_1438	accessory
CAMP_1439	accessory
CAMP_144	core
CAMP_1440	accessory
CAMP_1441	accessory
CAMP_1442	accessory
CAMP_1443	accessory
CAMP_1444	accessory
CAMP_1445	accessory
CAMP_1446	accessory
CAMP_1447	accessory
CAMP_1448	accessory
CAMP_1449	accessory
CAMP_145	core
CAMP_1450	accessory
CAMP_1451	accessory
CAMP_1452	accessory
CAMP_1453	accessory
CAMP_1454	accessory
CAMP_1455	accessory
CAMP_1456	accessory
CAMP_1457	accessory
